page_url,image_url,name,rank,faculty
http://its.iust.ac.ir/profile/mralirez,https://its.iust.ac.ir/sites/default/files/pictures/picture-935-261962303.jpg,دکتر محمدرضا علیرضائی,دانشيار,دانشکده رياضي
http://its.iust.ac.ir/profile/alizadeh,https://its.iust.ac.ir/sites/default/files/pictures/picture-7898-456156374.jpg,دکتر حسین علیزاده,دانشيار,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/ma_alizadeh,https://its.iust.ac.ir/sites/default/files/pictures/picture-749-651318633.jpg,دکتر منصور علیزاده,دانشيار,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/gharavi,https://its.iust.ac.ir/sites/default/files/pictures/picture-435-2084754463.jpg,دکتر مجتبی غروی,استاديار,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/mehdi,https://its.iust.ac.ir/sites/default/files/pictures/picture-815-1812834765.jpg,دکتر مهدی غضنفری,استاد,دانشکده مهندسي صنايع
http://its.iust.ac.ir/profile/aboozar_ghaffari,https://its.iust.ac.ir/sites/default/files/userpics/picture-26660-1539530565.jpg,دکتر ابوذر غفاری,استاديار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/ghaffari,https://its.iust.ac.ir/sites/default/files/pictures/picture-2118-1473028344.jpg,جواد غفاری,استاديار,گروه آموزشي معارف اسلامي
http://its.iust.ac.ir/profile/ghafary,https://its.iust.ac.ir/sites/default/files/pictures/picture-430-1251274676.jpg,دکتر بیژن غفاری قمی,استاد,دانشکده فيزيک
http://its.iust.ac.ir/profile/ghaffarinejad,https://its.iust.ac.ir/sites/default/files/pictures/picture-2395-625958249.jpg,دکتر علی غفاری نژاد,استاد,دانشکده شيمي
http://its.iust.ac.ir/profile/ghafuri,https://its.iust.ac.ir/sites/default/files/pictures/picture-2404-1610502298.jpg,دکتر حسین غفوری,استاد,دانشکده شيمي
http://its.iust.ac.ir/profile/ghafourian_m,https://its.iust.ac.ir/sites/default/files/pictures/picture-9382-1068906611.jpg,دکتر میترا غفوریان,استاديار,دانشکده معماري و شهرسازي
http://its.iust.ac.ir/profile/gholami,https://its.iust.ac.ir/sites/default/files/userpics/picture-454-1531556809_0.jpg,دکتر احمد غلامی,استاد,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/gholamian,https://its.iust.ac.ir/sites/default/files/userpics/picture-455-1500463593_0.jpg,دکتر محمدرضا غلامیان,دانشيار,دانشکده مهندسي صنايع
http://its.iust.ac.ir/profile/mrgheibi,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,محمد رضا غیبی,استاديار,دانشکده مهندسي خودرو
http://its.iust.ac.ir/profile/ghayour,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,سیده فرزانه غیور باغبانی,استاديار,دانشکده مهندسی کامپیوتر
http://its.iust.ac.ir/profile/hfatehi,https://its.iust.ac.ir/sites/default/files/pictures/picture-534-919784403.jpg,حسین فاتحی,مربي,دانشکده معماري و شهرسازي
http://its.iust.ac.ir/profile/fazel,https://its.iust.ac.ir/sites/default/files/pictures/picture-414-826008880.jpg,دکتر سید سعید فاضل,دانشيار,دانشکده مهندسي راه آهن
http://its.iust.ac.ir/profile/hosseinfazeli,https://its.iust.ac.ir/sites/default/files/userpics/picture-84911-1663127673.jpg,حسین فاضلی,استاديار,دانشکده مهندسي شيمي، نفت و گاز
http://its.iust.ac.ir/profile/famili,https://its.iust.ac.ir/sites/default/files/pictures/picture-396-1077581497.jpg,دکتر هرمز فامیلی,استاديار,دانشکده مهندسي عمران
