citation_per_article,documents,academic_rank,faculty,name,url,g_index,h_index
۱/۳۴,۲۶,استادیار,مهندسی معماری و شهرسازی,محمدجواد عباس زاده,https://scimet.iust.ac.ir/Mohammadjavad_Abbaszadeh,۵,۴
۶/۲۲,۹,استادیار,مهندسی عمران,زهره سادات حقایقی,https://scimet.iust.ac.ir/ZohrehSadat_Haghayeghi,۷,۳
۱/۵,۳۶,استادیار,مهندسی معماری و شهرسازی,سجاد موذن,https://scimet.iust.ac.ir/Sajad_Moazen,۷,۳
۶/۶۶,۶,استادیار,مهندسی کامپیوتر,سیده فرزانه غیورباغبانی,https://scimet.iust.ac.ir/SeyedehFarzaneh_GhayourBaghbani,۶,۳
۳/۴۵,۱۱,استادیار,مهندسی عمران,رضا گلشن خواص,https://scimet.iust.ac.ir/Reza_Golshan,۶,۳
۲/۸۳,۱۲,استادیار,مهندسی معماری و شهرسازی,محسن دهقانی تفتی,https://scimet.iust.ac.ir/Mohsen_DehghaniTafti,۵,۳
۱/۱۷,۲۸,استادیار,مهندسی معماری و شهرسازی,حسین راعی,https://scimet.iust.ac.ir/Hosein_Raie,۴,۳
۰/۹۳,۳۲,استادیار,مهندسی معماری و شهرسازی,نداسادات صحراگردمنفرد,https://scimet.iust.ac.ir/Nedasadat_SahragardMonfared,۴,۳
۲/۶۶,۹,استادیار,شیمی,محمدامیر سعادتی نسب,https://scimet.iust.ac.ir/MohammadAmir_Saadatinasab,۴,۳
۲۱,۲,استادیار,مدیریت، اقتصاد و مهندسی پیشرفت,حامد امینی,https://scimet.iust.ac.ir/Hamed_Amini,۲,۲
۱,۱۱,استادیار,ریاضی,پرستو کعبی نژاد,https://scimet.iust.ac.ir/Parastoo_Kabinejad,۳,۲
۰/۵۸,۱۲,استادیار,مدیریت، اقتصاد و مهندسی پیشرفت,سیده اشرف موسوی لقمان,https://scimet.iust.ac.ir/SeyyedeAshraf_MousaviLoghman,۲,۲
۱/۶۶,۳,استادیار,مهندسی معماری و شهرسازی,آویده کامرانی,https://scimet.iust.ac.ir/Avideh_Kamrani,۲,۱
۰/۳۳,۹,استادیار,تربیت بدنی,امید محمدیان,https://scimet.iust.ac.ir/Omid_Mohammadian,۱,۱
۰,۰,استاد,مهندسی صنایع,محمدسعید جبل عاملی,https://scimet.iust.ac.ir/MohammadSaeed_Jabalameli,Empty,Empty
۰,۰,استاد,ریاضی,جلیل رشیدی نیا,https://scimet.iust.ac.ir/Jalil_Rashidinia,Empty,Empty
۰,۰,استاد,شیمی,حسین غفوری,https://scimet.iust.ac.ir/Hossein_Ghafouri,Empty,Empty
۰,۰,استاد,مهندسی عمران,محمدحسن بازیار,https://scimet.iust.ac.ir/Mohammadhassan_Baziar,Empty,Empty
۰,۰,استاد,مهندسی مواد و متالورژی,حسین سرپولکی,https://scimet.iust.ac.ir/Hossein_Sarpoolaki,Empty,Empty
۰,۰,استاد,مهندسی مکانیک,سیدمصطفی حسینعلی پور,https://scimet.iust.ac.ir/SeyedMostafa_Hosseinalipour,Empty,Empty
۰,۰,استاد,مهندسی مکانیک,مرتضی منتظری قهجاورستانی,https://scimet.iust.ac.ir/Morteza_MontazeriGhahjavarestani,Empty,Empty
۰,۰,دانشیار,فناوری های نوین,علیرضا زاهدی,https://scimet.iust.ac.ir/AliReza_Zahedi,۰,۰
۰,۰,دانشیار,مهندسی مواد و متالورژی,رحیم نقی زاده,https://scimet.iust.ac.ir/Rahim_Naghizadeh,۰,۰
۰,۰,استاد,مهندسی مواد و متالورژی,سیدمحمدعلی بوترابی,https://scimet.iust.ac.ir/SeyedMohammadAli_Boutorabi,Empty,Empty
۰,۰,دانشیار,مهندسی برق,هادی شهریار شاه حسینی,https://scimet.iust.ac.ir/HadiShahria_Shahhoseini,Empty,Empty
۰,۰,استاد,مهندسی برق,احمد چلداوی,https://scimet.iust.ac.ir/Ahmad_Cheldavi,Empty,Empty
۰,۰,استادیار,مهندسی کامپیوتر,حاکم بیت الهی,https://scimet.iust.ac.ir/Hakem_Beitollahi,Empty,Empty
۰,۰,استاد,مهندسی مکانیک,محمد حق پناهی,https://scimet.iust.ac.ir/Mohammad_Haghpanahi,Empty,Empty
۰,۰,استادیار,فناوری های نوین,سیدمجتبی میرحسینی,https://scimet.iust.ac.ir/SeyedMojtaba_MirHosseini,Empty,Empty
۰,۰,دانشیار,مهندسی عمران,حسین صالح زاده,https://scimet.iust.ac.ir/Hossein_Salehzadeh,Empty,Empty
۰,۰,استاد,مهندسی برق,حسین بلندی,https://scimet.iust.ac.ir/Hossein_Bolandi,Empty,Empty
۰,۰,استادیار,مهندسی صنایع,محمد محمدپورعمران,https://scimet.iust.ac.ir/Mohammad_MohammadpourEmaran,Empty,Empty
۰,۰,مربی,مهندسی صنایع,مجتبی ثقفی نیا,https://scimet.iust.ac.ir/Mojtaba_Saghafinia,Empty,Empty
۰,۰,استادیار,مهندسی راه آهن,سیدمسعود نصرآزادانی,https://scimet.iust.ac.ir/SeyedMasoud_Nasrazadani,Empty,Empty
۰,۰,استادیار,مهندسی راه آهن,بهمن قربانی واقعی,https://scimet.iust.ac.ir/Bahman_GhorbaniVaghei,۰,۰
۰,۰,دانشیار,ریاضی,سمیه سعیدی نژاد,https://scimet.iust.ac.ir/Somayeh_Saiedinezhad,Empty,Empty
۰,۰,دانشیار,مهندسی عمران,محمود احمدی نژاد,https://scimet.iust.ac.ir/Mahmood_Ahmadinejad,Empty,Empty
۰,۰,استادیار,مهندسی عمران,سعیدرضا مساح,https://scimet.iust.ac.ir/SeyedReza_Massah,Empty,Empty
۰,۰,استادیار,مهندسی مواد و متالورژی,مریم صالحی,https://scimet.iust.ac.ir/Maryam_Salehi,Empty,Empty
۰,۰,استادیار,مهندسی برق,محمدجواد حاجی احمدی,https://scimet.iust.ac.ir/MohamadJavad_Hajiahmadi,Empty,Empty
۰,۰,استادیار,مهندسی برق,سجاد ملائی,https://scimet.iust.ac.ir/Sajjad_Mollai,Empty,Empty
۰,۰,دانشیار,مهندسی مکانیک,رضا تقوی زنوز,https://scimet.iust.ac.ir/Reza_TaghaviZenouz,Empty,Empty
۰,۰,استادیار,تربیت بدنی,حمید سیفی,https://scimet.iust.ac.ir/Hamid_Seifi,Empty,Empty
۰,۰,استادیار,فناوری های نوین,مهدی نصیری سروی,https://scimet.iust.ac.ir/NasiriSarvi_Mehdi,Empty,Empty
۰,۰,استادیار,مهندسی خودرو,علیرضا بتوئی,https://scimet.iust.ac.ir/Alireza_Batooei,Empty,Empty
۰,۰,استادیار,مهندسی کامپیوتر,مرضیه داوددآبادی فراهانی,https://scimet.iust.ac.ir/Marzieh_DavoodabadiFarahani,Empty,Empty
۰,۰,استادیار,مهندسی معماری و شهرسازی,محسن صفاردزفولی,https://scimet.iust.ac.ir/Mohsen_Safardezfuli,Empty,Empty
۰,۰,استادیار,مهندسی معماری و شهرسازی,مهدی خرم,https://scimet.iust.ac.ir/Mehdi_Khorram,Empty,Empty
۰,۰,استاد,مهندسی معماری و شهرسازی,محمد علی آبادی,https://scimet.iust.ac.ir/Mohammad_Aliabadi,Empty,Empty
۰,۰,استادیار,مدیریت، اقتصاد و مهندسی پیشرفت,عطااله رفیعی آتانی,https://scimet.iust.ac.ir/Ataollah_Rafieiatani,Empty,Empty
۰,۰,مربی,تربیت بدنی,جمال الدین شریعتی,https://scimet.iust.ac.ir/Jamal_Shariati,Empty,Empty
۰,۰,مربی,تربیت بدنی,زینب مولائی,https://scimet.iust.ac.ir/Zeynab_Molaei,Empty,Empty
۰,۰,استادیار,معارف اسلامی,حمید کریمی,https://scimet.iust.ac.ir/Hamid_Karymi,Empty,Empty
۰,۰,مربی,معارف اسلامی,جواد غفاری,https://scimet.iust.ac.ir/Javad_Ghaffari,Empty,Empty
۰,۰,دانشیار,معارف اسلامی,احمدرضا شاه علی,https://scimet.iust.ac.ir/Ahmadreza_Shahali,Empty,Empty
۰,۰,استادیار,معارف اسلامی,محسن نصیری,https://scimet.iust.ac.ir/Mohsen_Nasiri,Empty,Empty
۰,۰,استادیار,معارف اسلامی,عبدالمجید ارجمندی,https://scimet.iust.ac.ir/Abdolmajid_Arjomandi,Empty,Empty
۰,۰,استادیار,معارف اسلامی,محمودرضا قاسمی,https://scimet.iust.ac.ir/Mahmudreza_Qasemi,Empty,Empty
۰,۰,استادیار,مدیریت، اقتصاد و مهندسی پیشرفت,شهاب جنابی,https://scimet.iust.ac.ir/Shahab_Jenabi,Empty,Empty
۰,۰,استادیار,معارف اسلامی,مرتضی دادورآلانق,https://scimet.iust.ac.ir/Morteza_Dadvar,Empty,Empty
۰,۰,استادیار,معارف اسلامی,حمید مدرسی,https://scimet.iust.ac.ir/Hamid_Modarresi,Empty,Empty
