citation_per_article,documents,academic_rank,faculty,name,url,g_index,h_index
۱۵/۳۱,۲۳۴,استاد,مهندسی مکانیک,محمد صدیقی,https://scimet.iust.ac.ir/Mohammad_Sedighi,۵۱,۳۲
۴۱/۱۹,۶۶,استادیار,مهندسی مواد و متالورژی,روح اله عشیری,https://scimet.iust.ac.ir/Rouholah_Ashiri,۵۱,۳۲
۲۱/۱۴,۱۹۰,استاد,مهندسی برق,محسن کلانتر,https://scimet.iust.ac.ir/Mohsen_Kalantar,۵۹,۳۱
۱۸/۶۵,۱۷۳,استاد,مهندسی صنایع,مهدی غضنفری,https://scimet.iust.ac.ir/Mehdi_Ghazanfari,۵۳,۳۱
۳۳/۵۵,۹۰,دانشیار,فناوری های نوین,روح الله احمدی,https://scimet.iust.ac.ir/Rouhollah_Ahmadi,۵۳,۳۱
۱۷/۱۹,۱۵۷,استاد,مهندسی صنایع,ابراهیم تیموری,https://scimet.iust.ac.ir/Ebrahim_Teimoury,۴۷,۳۱
۱۵/۸,۱۶۵,دانشیار,مهندسی برق,حمید بهنام,https://scimet.iust.ac.ir/Hamid_Behnam,۴۴,۳۱
۱۴/۲۸,۲۶۴,استاد,مهندسی برق,ابوالفضل واحدی,https://scimet.iust.ac.ir/Abolfazl_Vahedi,۴۸,۳۰
۱۴/۰۴,۲۳۷,استاد,مهندسی برق,علی عبدالعالی,https://scimet.iust.ac.ir/Ali_Abdolali,۴۷,۳۰
۲۵/۰۱,۱۲۱,دانشیار,مهندسی خودرو,ابوالفضل خلخالی,https://scimet.iust.ac.ir/Abolfazl_Khalkhali,۵۲,۳۰
۲۵/۸۶,۱۱۵,دانشیار,مهندسی شیمی، نفت و گاز,علیرضا همتی,https://scimet.iust.ac.ir/Alireza_Hemmati,۵۲,۳۰
۱۳/۵۷,۲۱۶,استاد,مهندسی کامپیوتر,محمد عبداللّهی اَزگُمی,https://scimet.iust.ac.ir/Mohammad_AbdollahiAzgomi,۴۵,۳۰
۲۲/۱۷,۱۲۲,دانشیار,مهندسی مکانیک,حمید صفاری نطنزی,https://scimet.iust.ac.ir/Hamid_SaffariNatanzi,۴۸,۳۰
۱۶/۵۴,۱۵۵,دانشیار,مهندسی مواد و متالورژی,حسین آقاجانی,https://scimet.iust.ac.ir/Hossein_Aghajani,۴۳,۳۰
۲۳/۷۶,۱۸۱,استاد,مهندسی برق,علیرضا جلیلیان,https://scimet.iust.ac.ir/Alireza_Jalilian,۶۱,۲۹
۱۶/۷۹,۲۰۹,استاد,مهندسی برق,ستار میرزاکوچکی,https://scimet.iust.ac.ir/Sattar_Mirzakuchaki,۵۳,۲۹
۱۲/۹,۲۶۴,استاد,مهندسی کامپیوتر,محمدرضا جاهدمطلق,https://scimet.iust.ac.ir/MohammadReza_JahedMotlagh,۴۶,۲۹
۱۷/۷۱,۱۷۶,استاد,مهندسی مواد و متالورژی,بیژن افتخاری یکتا,https://scimet.iust.ac.ir/Bijan_EftekhariYekta,۴۸,۲۹
۲۲/۹۱,۱۳۴,دانشیار,مهندسی صنایع,کامران شهانقی,https://scimet.iust.ac.ir/Kamran_Shahanagh,۵۳,۲۹
۲۴/۴۴,۱۱۷,دانشیار,مهندسی صنایع,فرناز برزین پور,https://scimet.iust.ac.ir/Farnaz_Barzinpour,۵۲,۲۹
۲۸/۸۷,۹۵,دانشیار,مهندسی مکانیک,هادی خرمی شاد,https://scimet.iust.ac.ir/Hadi_Khoramishad,۵۱,۲۹
۸/۴۹,۲۸۶,استاد,مهندسی صنایع,علیرضا علی احمدی جشفقانی,https://scimet.iust.ac.ir/Alireza_Aliahmadi,۴۶,۲۹
۲۱/۱۷,۱۱۰,استاد,شیمی,سیدمجید هاشمیان زاده,https://scimet.iust.ac.ir/SeyedMajid_Hashemianzadeh,۴۲,۲۹
۲۶/۷۵,۱۱۲,دانشیار,مهندسی مواد و متالورژی,مسعود گودرزی,https://scimet.iust.ac.ir/Massoud_Goodarzi,۵۳,۲۸
۲۱/۳۸,۱۱۹,استاد,مهندسی شیمی، نفت و گاز,محمدامین ثباتی,https://scimet.iust.ac.ir/MohammadAmin_Sobati,۴۶,۲۸
۱۵/۷۴,۱۵۱,دانشیار,مهندسی صنایع,سعید یعقوبی,https://scimet.iust.ac.ir/Saeed_Yaghoubi,۴۵,۲۸
۲۲/۷,۹۳,دانشیار,مهندسی شیمی، نفت و گاز,رضا نوروزبیگی,https://scimet.iust.ac.ir/Reza_Norouzbeigi,۴۳,۲۸
۱۶/۲,۱۹۱,استاد,مهندسی برق,محمد سلیمانی,https://scimet.iust.ac.ir/Mohammad_Soleimani,۵۰,۲۷
۱۹/۰۲,۱۴۸,دانشیار,مهندسی برق,وحید نیری,https://scimet.iust.ac.ir/Vahid_Nayyeri,۴۹,۲۷
۲۴/۲۶,۱۰۷,استاد,مهندسی عمران,افشین شریعت مهیمنی,https://scimet.iust.ac.ir/Afshin_ShariatMohaymany,۵۰,۲۷
۲۶/۴۳,۹۸,دانشیار,مهندسی خودرو,عبدالله امیرخانی شهرکی,https://scimet.iust.ac.ir/Abdollah_Amirkhani,۴۹,۲۷
۱۴/۴,۱۷۹,استاد,مهندسی عمران,حسین افضلی مهر,https://scimet.iust.ac.ir/Hossein_Afzalimehr,۴۳,۲۷
۱۳/۸,۱۷۸,دانشیار,ریاضی,جواد وحیدی,https://scimet.iust.ac.ir/Javad_Vahidi,۴۵,۲۷
۱۸/۰۲,۱۳۶,دانشیار,شیمی,فرانک منطقی,https://scimet.iust.ac.ir/Faranak_Manteghi,۴۶,۲۷
۱۹/۳۱,۱۲۲,دانشیار,فناوری های نوین,صادق صادق زاده,https://scimet.iust.ac.ir/Sadegh_Sadeghzadeh,۴۳,۲۷
۱۹/۹۹,۱۱۰,دانشیار,مهندسی برق,فرید توتونچیان,https://scimet.iust.ac.ir/Farid_Tootoonchian,۴۲,۲۷
۳۳/۰۶,۶۲,دانشیار,مهندسی خودرو,غلامرضا مولایی منش,https://scimet.iust.ac.ir/GholamReza_Molaeimanesh,۴۵,۲۷
۱۸/۵,۹۵,دانشیار,مهندسی خودرو,حامد سعیدی گوگرچین,https://scimet.iust.ac.ir/Hamed_SaeidiGoogarchin,۳۸,۲۷
۱۳/۰۶,۲۴۷,استاد,مهندسی کامپیوتر,محسن شریفی,https://scimet.iust.ac.ir/Mohsen_Sharifi,۴۸,۲۶
۱۴/۲۳,۱۷۸,استاد,مهندسی عمران,محسنعلی شایانفر,https://scimet.iust.ac.ir/Mohsenali_Shayanfar,۴۳,۲۶
۲۱,۱۱۶,دانشیار,مهندسی مکانیک,مهدی مقیمی,https://scimet.iust.ac.ir/Mahdi_Moghimi,۴۷,۲۶
۲۳/۲۴,۹۸,دانشیار,شیمی,بهشته سهرابی نظری,https://scimet.iust.ac.ir/Beheshteh_Sohrabi,۴۶,۲۶
۱۷/۹۱,۱۲۷,استاد,مهندسی برق,نادر کمجانی برچلویی,https://scimet.iust.ac.ir/Nader_Komjani,۴۳,۲۶
۲۴/۶۶,۹۰,دانشیار,مهندسی صنایع,هادی صاحبی شاهم آبادی,https://scimet.iust.ac.ir/Hadi_Sahebi,۴۵,۲۶
۱۸/۶۸,۱۶۷,استاد,مهندسی برق,محمد فرخی,https://scimet.iust.ac.ir/Mohammad_Farrokhi,۵۲,۲۵
۱۳/۲۷,۲۱۸,استاد,مهندسی برق,جواد پشتان,https://scimet.iust.ac.ir/Javad_Poshtan,۴۵,۲۵
۱۶,۱۷۹,دانشیار,مهندسی صنایع,محمدرضا غلامیان,https://scimet.iust.ac.ir/MohammadReza_Gholamian,۴۹,۲۵
۱۶/۲۴,۱۴۹,استاد,مهندسی شیمی، نفت و گاز,نوراله کثیری بیدهندی,https://scimet.iust.ac.ir/Norollah_KasiriBidhendi,۴۴,۲۵
۱۸/۸۷,۱۲۶,استاد,مهندسی خودرو,جواد مرزبان راد,https://scimet.iust.ac.ir/Javad_Marzbanrad,۴۵,۲۵
۹/۷۵,۲۴۳,استاد,مهندسی برق,محمد خلج امیرحسینی,https://scimet.iust.ac.ir/Mohammad_KhalajAmirhosseini,۳۵,۲۵
۳۲/۲۶,۷۱,دانشیار,مهندسی صنایع,سیدفرید قنادپور,https://scimet.iust.ac.ir/SeyedFarid_Ghannadpour,۴۷,۲۵
۱۸/۹۳,۹۸,استاد,مهندسی برق,سهیل گنجه فر,https://scimet.iust.ac.ir/Soheil_Ganjefar,۳۹,۲۵
۳۰/۱۹,۶۱,استادیار,مهندسی مکانیک,سیاوش کاظمی راد,https://scimet.iust.ac.ir/Siavash_Kazemirad,۴۲,۲۵
۲۰/۰۱,۹۱,استاد,مهندسی مکانیک,امیرحسین دوائی مرکزی,https://scimet.iust.ac.ir/Amirhossein_DavaieMarkazi,۴۰,۲۵
۱۵/۷۴,۱۱۵,استاد,مهندسی مکانیک,کامران دانشجو,https://scimet.iust.ac.ir/Kamran_Daneshjou,۳۹,۲۵
۱۶/۳۵,۱۰۹,استاد,مهندسی مکانیک,فرزاد بازدیدی طهرانی,https://scimet.iust.ac.ir/Farzad_BazdidiTehrani,۳۸,۲۵
۱۷/۲۶,۱۰۰,دانشیار,مهندسی مکانیک,سیدعلی نیک نام,https://scimet.iust.ac.ir/SeyyedAli_Niknam,۳۹,۲۵
۲۱/۶۶,۷۴,استاد,مهندسی خودرو,بهروز مشهدی,https://scimet.iust.ac.ir/Behroz_Mashadi,۳۸,۲۵
۱۷/۳۸,۱۳۹,استاد,مهندسی برق,عباس عرفانیان امیدوار,https://scimet.iust.ac.ir/Abbas_ErfanianOmidvar,۴۵,۲۴
۱۹/۶۳,۱۰۷,استاد,مهندسی شیمی، نفت و گاز,محمدرضا مقبلی,https://scimet.iust.ac.ir/MohammadReza_Moghbeli,۴۲,۲۴
۲۰/۶۸,۱۰۱,دانشیار,مهندسی صنایع,محمد مهدوی مزده,https://scimet.iust.ac.ir/Mohammad_MahdaviMazdeh,۴۳,۲۴
۱۹/۲۸,۹۵,دانشیار,مهندسی شیمی، نفت و گاز,سلمان موحدی راد,https://scimet.iust.ac.ir/Salman_Movahedirad,۳۹,۲۴
۱۹/۳۲,۷۴,دانشیار,مهندسی مواد و متالورژی,سمیه اعلم الهدی,https://scimet.iust.ac.ir/Somaye_Alamolhoda,۳۵,۲۴
۲۰/۸۴,۶۶,دانشیار,فناوری های نوین,میثم جلالی,https://scimet.iust.ac.ir/Maisam_Jalaly,۳۶,۲۴
۳۸/۱۵,۷۱,استادیار,مهندسی صنایع,بابک امیری,https://scimet.iust.ac.ir/Babk_Amiri,۵۱,۲۳
۲۵/۳۷,۸۹,استاد,مهندسی عمران,حبیب شاه نظری,https://scimet.iust.ac.ir/Habib_Shahnazari,۴۶,۲۳
۴۵/۴۱,۴۶,استادیار,مهندسی عمران,مجید حسین زاده,https://scimet.iust.ac.ir/Majid_Hosseinzadeh,۴۵,۲۳
۲۳/۲۸,۸۱,استادیار,شیمی,سیدمرتضی موسوی خوشدل,https://scimet.iust.ac.ir/SeyedMorteza_MosaviKhoshdel,۴۲,۲۳
۱۳/۰۷,۱۳۶,استاد,مهندسی مکانیک,نوروزمحمد نوری,https://scimet.iust.ac.ir/NowrouzMohammad_Nouri,۳۶,۲۳
۱۸/۹۲,۹۳,دانشیار,شیمی,افسانه ملاحسینی,https://scimet.iust.ac.ir/Afsaneh_Mollahosseini,۳۹,۲۳
۱۲/۴,۱۱۹,دانشیار,مهندسی مواد و متالورژی,سیدمحمد میرکاظمی,https://scimet.iust.ac.ir/SeyedMohammad_Mirkazemi,۳۳,۲۳
۱۳/۳۳,۱۶۱,دانشیار,مهندسی کامپیوتر,ناصر مزینی,https://scimet.iust.ac.ir/Nasser_Mozayani,۴۲,۲۲
۱۵/۱۵,۱۳۱,دانشیار,مهندسی صنایع,عمران محمدی,https://scimet.iust.ac.ir/Emran_Mohammadi,۴۱,۲۲
۱۷/۰۹,۱۱۵,دانشیار,مهندسی مکانیک,میرسعید صفی زاده,https://scimet.iust.ac.ir/MirSaeed_Safizadeh,۴۳,۲۲
۱۷/۵,۱۱۰,دانشیار,مهندسی مکانیک,بهنام داودی,https://scimet.iust.ac.ir/Behnam_Davoodi,۴۲,۲۲
۹/۶۹,۱۹۵,دانشیار,مهندسی برق,حسین حیدری,https://scimet.iust.ac.ir/Hossein_Heydari,۳۶,۲۲
۲۰/۲۷,۹۳,دانشیار,مهندسی صنایع,سیامک نوری,https://scimet.iust.ac.ir/Siamak_Noori,۴۱,۲۲
۱۸/۱۸,۹۳,استادیار,مهندسی عمران,مهران کریم پورفرد,https://scimet.iust.ac.ir/Mehran_Karimpourfard,۳۸,۲۲
۱۶/۱۵,۱۰۲,دانشیار,مهندسی راه آهن,مسعود یقینی,https://scimet.iust.ac.ir/Maseod_Yaghini,۳۹,۲۲
۱۳/۸۶,۱۱۶,دانشیار,مهندسی مواد و متالورژی,سیدحسین رضوی,https://scimet.iust.ac.ir/SeyedHossein_Razavi,۳۷,۲۲
۲۵/۱۵,۶۳,استادیار,مهندسی کامپیوتر,رضا انتظاری ملکی,https://scimet.iust.ac.ir/Reza_EntezariMaleki,۳۸,۲۲
۱۵/۴۶,۹۷,دانشیار,مهندسی شیمی، نفت و گاز,محمد فصیحی دستجردی,https://scimet.iust.ac.ir/Mohammad_Fasihi,۳۴,۲۲
۲۳/۳۹,۶۱,دانشیار,مهندسی خودرو,سلمان ابراهیمی نژادرفسنجانی,https://scimet.iust.ac.ir/Salman_Ebrahiminejad,۳۵,۲۲
۱۲/۲۷,۱۰۶,دانشیار,مهندسی عمران,علی اکبر شیرزادی جاوید,https://scimet.iust.ac.ir/AliAkbar_ShirzadiJavid,۳۳,۲۲
۱۳/۳۸,۹۷,دانشیار,مهندسی عمران,ناصر شابختی,https://scimet.iust.ac.ir/Naser_Shabakhty,۳۳,۲۲
۶۵/۹۳,۴۴,دانشیار,مهندسی راه آهن,سیدمحمد موسوی گزافرودی,https://scimet.iust.ac.ir/SayedMohammad_MousaviGazafrudi,۴۴,۲۱
۱۳/۷,۱۶۲,استاد,مهندسی معماری و شهرسازی,غلامحسین معماریان,https://scimet.iust.ac.ir/Gholamhossen_Memarian,۴۷,۲۱
۳۸/۹۱,۵۷,استادیار,مهندسی عمران,مجید ایلچی قزآان,https://scimet.iust.ac.ir/Majid_IlchiGhazaan,۴۷,۲۱
۹/۷۹,۱۹۸,استاد,مهندسی معماری و شهرسازی,محسن فیضی,https://scimet.iust.ac.ir/Mohsen_Faizi,۳۹,۲۱
۱۳/۱۴,۱۳۵,دانشیار,مهندسی عمران,برات مجردی,https://scimet.iust.ac.ir/Barat_Mojaradi,۳۹,۲۱
۲۷/۲۲,۵۸,استادیار,مهندسی مکانیک,سمانه قندهاریون,https://scimet.iust.ac.ir/Samane_Ghandehariun,۳۹,۲۱
۹/۲۹,۱۶۸,دانشیار,مهندسی برق,سیدادیب ابریشمی فر,https://scimet.iust.ac.ir/SeyedAdib_Abrishamifar,۳۳,۲۱
۹/۵۴,۱۵۷,استاد,فیزیک,مهدی اسماعیل زاده هنجنی,https://scimet.iust.ac.ir/Mahdi_Esmaeilzadeh,۳۱,۲۱
۱۳/۲۲,۱۱۰,دانشیار,مهندسی عمران,سیدمصطفی سیادت موسوی,https://scimet.iust.ac.ir/Seyedmostafa_Siadatmosavi,۳۴,۲۱
۱۷/۶۶,۷۷,دانشیار,مهندسی مواد و متالورژی,سعید رستگاری,https://scimet.iust.ac.ir/Saeid_Rastegari,۳۵,۲۱
۲۴/۳,۵۲,دانشیار,مهندسی عمران,مطهره سعادت پور,https://scimet.iust.ac.ir/Motahareh_Saadatpour,۳۵,۲۱
۱۲/۳۸,۹۶,استاد,مهندسی شیمی، نفت و گاز,محمدتقی صادقی,https://scimet.iust.ac.ir/Mohammad_TaghiSadeghi,۳۱,۲۱
۲۲/۱۶,۵۰,استادیار,مهندسی کامپیوتر,امیرمهدی حسینی منزه,https://scimet.iust.ac.ir/AmirMahdi_HosseiniMonazzah,۳۲,۲۱
۲۴/۷۷,۱۰۳,استاد,ریاضی,اسداله آقاجانی,https://scimet.iust.ac.ir/Asadollah_Aghajani,۴۹,۲۰
۲۱/۷۸,۹۵,استاد,مهندسی مکانیک,حجت قاسمی,https://scimet.iust.ac.ir/Hojat_Ghassemi,۴۴,۲۰
۲۷/۸۱,۵۳,استادیار,مهندسی عمران,پویان ایار,https://scimet.iust.ac.ir/Ayar_Pooyan,۳۸,۲۰
۳۰/۴۱,۴۳,استادیار,فناوری های نوین,حسین بنا متجددامروز,https://scimet.iust.ac.ir/Hossein_Banna,۳۶,۲۰
۲۰/۱۹,۶۱,دانشیار,مهندسی مکانیک,مجید رجبی,https://scimet.iust.ac.ir/Majid_Rajabi,۳۴,۲۰
۵/۳۵,۲۲۲,استاد,ریاضی,مهدی علائیان,https://scimet.iust.ac.ir/Mehdi_Alaeiyan,۲۷,۲۰
۱۴/۶,۸۰,دانشیار,مهندسی صنایع,عبدالرحمن حائری,https://scimet.iust.ac.ir/Abdorahman_Haeri,۳۲,۲۰
۱۷/۳۷,۶۲,دانشیار,مهندسی راه آهن,سعید محمدزاده,https://scimet.iust.ac.ir/Saeed_Mohammadzadeh,۳۰,۲۰
۱۵/۴۲,۶۹,دانشیار,مهندسی راه آهن,پریسا حسینی تهرانی,https://scimet.iust.ac.ir/Parisa_HosseiniTehrani,۳۰,۲۰
۱۲/۹۶,۷۸,دانشیار,فیزیک,محمدرضا زمانی میمیان,https://scimet.iust.ac.ir/MohammadReza_ZamaniMeymian,۲۷,۲۰
۱۱/۷۳,۸۴,دانشیار,فناوری های نوین,رضا دشتی,https://scimet.iust.ac.ir/Reza_Dashti,۲۹,۲۰
۲۹/۵۸,۷۰,دانشیار,مهندسی خودرو,امیرحسن کاکائی,https://scimet.iust.ac.ir/Amirhasan_Kakaee,۴۵,۱۹
۲۷/۴۸,۵۴,استادیار,مهندسی شیمی، نفت و گاز,روح الدین میری,https://scimet.iust.ac.ir/Rohaldin_Miri,۳۸,۱۹
۱۸/۳۶,۷۹,دانشیار,مهندسی برق,محمد سروی,https://scimet.iust.ac.ir/Mohammad_Sarvi,۳۶,۱۹
۱۲/۰۶,۱۲۰,دانشیار,مهندسی برق,سیدمحمد رضوی زاده,https://scimet.iust.ac.ir/SeyedMohammad_Razavizadeh,۳۵,۱۹
۱۳/۳۸,۱۰۳,دانشیار,مهندسی عمران,علی توکلی کاشانی,https://scimet.iust.ac.ir/Ali_TavakoliKashani,۳۶,۱۹
۱۴/۷۶,۹۱,دانشیار,مهندسی صنایع,روزبه قوسی,https://scimet.iust.ac.ir/Roozbeh_Ghousi,۳۵,۱۹
۱۰/۶۵,۱۰۹,دانشیار,مهندسی مکانیک,برهان بیگ زاده,https://scimet.iust.ac.ir/Borhan_Beigzadeh,۲۹,۱۹
۱۱/۱۱,۸۸,استاد,فیزیک,بیژن غفاری قمی,https://scimet.iust.ac.ir/Ghafary_Bijan,۲۶,۱۹
۱۸/۲۵,۵۱,دانشیار,مهندسی مواد و متالورژی,مسعود هاشمی نیاسری,https://scimet.iust.ac.ir/Masood_Hasheminiasari,۲۹,۱۹
۱۳/۸۶,۶۵,دانشیار,مهندسی برق,وحید شالچیان,https://scimet.iust.ac.ir/Vahid_Shalchyan,۲۸,۱۹
۱۷/۵۱,۴۹,استادیار,مهندسی خودرو,مسعود دهمرده,https://scimet.iust.ac.ir/Masoud_Dahmardeh,۲۸,۱۹
۲۵/۳۳,۶۵,استادیار,مهندسی برق,سیدسعید فاضل,https://scimet.iust.ac.ir/SeyedSaeid_Fazel,۴۰,۱۸
۳۰/۱۶,۵۳,استادیار,مهندسی مواد و متالورژی,سیدرضا علمی حسینی,https://scimet.iust.ac.ir/SeyedReza_ElmiHosseini,۴۰,۱۸
۲۵/۸۹,۵۸,استادیار,فیزیک,آسیه السادات کاظمی شیخ شبانی,https://scimet.iust.ac.ir/AsiehSadat_Kazemi,۳۸,۱۸
۱۵/۸۹,۹۲,دانشیار,مهندسی برق,سیدعلی اصغر بهشتی شیرازی,https://scimet.iust.ac.ir/SeyedAliAsghar_BeheshtiShirazi,۳۶,۱۸
۲۰/۹,۶۲,دانشیار,زبان,شهین واعظی,https://scimet.iust.ac.ir/Shahin_Vaezi,۳۵,۱۸
۷/۷۳,۱۶۷,دانشیار,مدیریت، اقتصاد و مهندسی پیشرفت,علی بنیادی نائینی,https://scimet.iust.ac.ir/Ali_BonyadiNaeini,۳۲,۱۸
۱۲/۹۸,۹۷,دانشیار,مهندسی راه آهن,مرتضی باقری,https://scimet.iust.ac.ir/Morteza_Bagheri,۳۴,۱۸
۸/۳۶,۱۴۰,استاد,ریاضی,رحمان فرنوش,https://scimet.iust.ac.ir/Rahman_Farnoosh,۲۹,۱۸
۲۷/۰۲,۴۳,دانشیار,مهندسی شیمی، نفت و گاز,پریسا حجازی,https://scimet.iust.ac.ir/Parisa_Hejazi,۳۳,۱۸
۱۴/۹۳,۷۶,استادیار,زبان,محمد امینی فارسانی,https://scimet.iust.ac.ir/Mohammad_AminiFarsani,۳۲,۱۸
۳۲/۲۴,۳۳,استادیار,مهندسی مواد و متالورژی,مهدی ملکی,https://scimet.iust.ac.ir/Mahdi_Maleki,۳۲,۱۸
۱۴/۱۳,۶۰,دانشیار,مهندسی عمران,علیرضا سعیدی عزیزکندی,https://scimet.iust.ac.ir/Alireza_SaeediAzizkandi,۲۷,۱۸
۱۷/۴۸,۳۹,استادیار,مهندسی خودرو,مرتضی ملاجعفری,https://scimet.iust.ac.ir/Morteza_Mollajafari,۲۵,۱۸
۱۰/۰۸,۱۵۷,دانشیار,مهندسی معماری و شهرسازی,سیدعباس آقایزدانفر,https://scimet.iust.ac.ir/Abbas_Yazdanfar,۳۷,۱۷
۱۱/۸۱,۱۱۹,استاد,فیزیک,محمدحسین مهدیه,https://scimet.iust.ac.ir/MohammadHossein_Mahdieh,۳۴,۱۷
۲۲/۵۸,۵۶,دانشیار,ریاضی,تورج نیک آزاد,https://scimet.iust.ac.ir/Touraj_Nikazad,۳۵,۱۷
۱۳/۵۷,۸۸,دانشیار,مهندسی خودرو,مسعود مسیح طهرانی,https://scimet.iust.ac.ir/Masoud_MasihTehrani,۳۲,۱۷
۴/۴۴,۲۶۸,استاد,مهندسی معماری و شهرسازی,مصطفی بهزادفر,https://scimet.iust.ac.ir/Mostafa_Behzadfar,۲۴,۱۷
۱۱/۶۹,۱۰۰,دانشیار,فناوری های نوین,سیدحسن صدیقی,https://scimet.iust.ac.ir/SeyedHassan_Sedighy,۳۲,۱۷
۱۵/۶۷,۶۴,دانشیار,مهندسی راه آهن,محمدعلی صندیدزاده,https://scimet.iust.ac.ir/MohammadAli_Sandidzadeh,۳۰,۱۷
۶/۷,۱۲۹,استاد,ریاضی,محمدباقر قائمی,https://scimet.iust.ac.ir/MohamadBagher_Ghaemi,۲۵,۱۷
۱۳/۳۴,۶۳,دانشیار,مهندسی مواد و متالورژی,علیرضا ذاکری,https://scimet.iust.ac.ir/Alireza_Zakeri,۲۸,۱۷
۹/۰۷,۹۱,دانشیار,مهندسی عمران,وحید بروجردیان,https://scimet.iust.ac.ir/Vahid_Broujerdian,۲۴,۱۷
۱۳/۷۶,۶۰,دانشیار,مهندسی عمران,حمیدرضا رازقی,https://scimet.iust.ac.ir/Hamidreza_Razeghi,۲۷,۱۷
۱۴/۹۸,۵۴,دانشیار,مهندسی مکانیک,ساسان آسیایی,https://scimet.iust.ac.ir/Sasan_Asiaei,۲۷,۱۷
۱۲/۰۴,۶۴,استادیار,مهندسی کامپیوتر,وصال حکمی,https://scimet.iust.ac.ir/Vesal_Hakami,۲۶,۱۷
۱۱/۳۸,۶۵,استادیار,مهندسی کامپیوتر,مهرداد آشتیانی,https://scimet.iust.ac.ir/Mehrdad_Ashtiani,۲۶,۱۷
۶/۳۳,۱۹۲,دانشیار,مهندسی برق,محمدحسین کهایی,https://scimet.iust.ac.ir/MohammadHossein_Kahaee,۲۷,۱۶
۷/۹۶,۱۵۰,دانشیار,مهندسی برق,مجید طیرانی,https://scimet.iust.ac.ir/Majid_Tayarani,۲۹,۱۶
۳/۷۷,۳۱۵,استاد,مهندسی عمران,شهریار افندیزاده زرگری,https://scimet.iust.ac.ir/Shahriar_Afandizadeh,۲۹,۱۶
۲۷/۷۸,۳۳,دانشیار,مهندسی شیمی، نفت و گاز,امید وحیدی,https://scimet.iust.ac.ir/Omid_Vahidi,۳۰,۱۶
۱۵/۲۷,۵۵,استادیار,مهندسی عمران,علی اکبر حشمتی رفسنجانی,https://scimet.iust.ac.ir/AliAkbar_Heshmati,۲۸,۱۶
۶/۹,۱۱۵,استاد,فیزیک,سیدادریس فیض آبادی,https://scimet.iust.ac.ir/SeyedEdris_Faizabadi,۲۲,۱۶
۲۵/۱۶,۳۱,استادیار,مهندسی راه آهن,احمد میرآبادی,https://scimet.iust.ac.ir/Ahmad_Mirabadi,۲۷,۱۶
۲۰/۴۳,۶۶,دانشیار,مهندسی مکانیک,اسماعیل خان میرزا,https://scimet.iust.ac.ir/Esmaeel_Khanmirza,۳۶,۱۵
۲۶/۸۸,۴۵,استادیار,مهندسی معماری و شهرسازی,مرتضی رهبر,https://scimet.iust.ac.ir/Morteza_Rahbar,۳۴,۱۵
۴/۶۴,۲۳۸,استاد,ریاضی,مهدی نجفی خواه,https://scimet.iust.ac.ir/Mahdi_Nadjafikhah,۲۹,۱۵
۴/۰۲,۲۰۱,دانشیار,مهندسی معماری و شهرسازی,حسن صادقی نائینی,https://scimet.iust.ac.ir/Hassan_SadeghiNaeini,۲۴,۱۵
۱۱/۶۷,۶۷,استادیار,شیمی,علیرضا اکبرزاده,https://scimet.iust.ac.ir/AliReza_Akbarzadeh,۲۷,۱۵
۱۶/۵۳,۴۷,دانشیار,ریاضی,سمانه مشهدی,https://scimet.iust.ac.ir/Samaneh_Mashhadi,۲۷,۱۵
۱۶/۵۲,۴۶,استادیار,مهندسی کامپیوتر,محمدرضا محمدی,https://scimet.iust.ac.ir/MohammadReza_Mohammadi,۲۷,۱۵
۱۲/۶۵,۵۸,استادیار,مهندسی برق,ابوذر غفاری,https://scimet.iust.ac.ir/Aboozar_Ghaffari,۲۶,۱۵
۱۲/۷۱,۵۳,استادیار,مهندسی عمران,سیدسجاد میرولد,https://scimet.iust.ac.ir/Sajjad_Mirvalad,۲۵,۱۵
۱۲/۹,۵۱,استادیار,مهندسی شیمی، نفت و گاز,فروغ عاملی,https://scimet.iust.ac.ir/Forough_Ameli,۲۵,۱۵
۱۱/۲۹,۵۸,استادیار,مهندسی عمران,ندا کامبوزیا,https://scimet.iust.ac.ir/Neda_Kamboozia,۲۵,۱۵
۱۵/۵۳,۴۱,استادیار,مهندسی مواد و متالورژی,حمیدرضا کوه دار,https://scimet.iust.ac.ir/Hamidreza_Koohdar,۲۵,۱۵
۱۰/۸۸,۵۴,دانشیار,مهندسی راه آهن,محمدرضا طلائی,https://scimet.iust.ac.ir/MohammadReza_Talaee,۲۳,۱۵
۸/۷۵,۶۶,استادیار,فناوری های نوین,مجید بختیاری,https://scimet.iust.ac.ir/Majid_Bakhtiari,۲۳,۱۵
۱۴/۸۷,۳۳,استادیار,فیزیک,محسن بابامرادی,https://scimet.iust.ac.ir/Mohsen_Babamoradi,۲۲,۱۵
۱۷/۷۶,۶۵,استادیار,زبان,محبوبه تقی زاده,https://scimet.iust.ac.ir/Taghizadeh_Mahboubeh,۳۳,۱۴
۲۲/۸۵,۴۹,استادیار,مهندسی راه آهن,اصغر نصر,https://scimet.iust.ac.ir/Asghar_Nasr,۳۳,۱۴
۱۷/۲,۵۸,استادیار,مهندسی برق,عارف اسکندری,https://scimet.iust.ac.ir/Aref_Eskandari,۳۱,۱۴
